institution.displayName,institution.state,institution.city,institution.zip,institution.institutionalControl,ranking.displayRank,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Moore College of Art & Design,PA,Philadelphia,19103,private,Unranked,58,47990,,357,N/A,N/A
Moravian University,PA,Bethlehem,18018,private,#39,67,52000,3.6,1904,1060-1253,21-26
Morehead State University,KY,Morehead,40351,public,#45,84,14706,3.5,8218,1000-1190,18-25
Morehouse College,GA,Atlanta,30314,private,#100,59,14734,3.5,2567,N/A,18-25
Morgan State University,MD,Baltimore,21251,public,#332,85,18800,3.1,7609,880-1060,16-21
Morningside University,IA,Sioux City,51106,private,#92,74,36610,,1245,N/A,N/A
Morris College,SC,Sumter,29150,private,#79,,15758,,410,N/A,N/A
Mount Aloysius College,PA,Cresson,16630,private,#27,92,25510,,2678,N/A,N/A
Mount Angel Seminary,OR,St. Benedict,97373,private,Unranked,40,27832,,34,N/A,N/A
Mount Carmel College of Nursing,OH,Columbus,43222,private,Unranked,52,13290,,621,N/A,N/A
Mount Holyoke College,MA,South Hadley,01075,private,#34,40,64142,3.9,2193,1350-1540,30-34
Mount Marty University,SD,Yankton,57078,private,#117,68,33100,3.4,1080,N/A,18-23
Mount Mary University,WI,Milwaukee,53222,private,#47,69,34390,3.1,716,990-1070,17-23
Mount Mercy University,IA,Cedar Rapids,52402,private,#56,75,37606,3.5,1271,N/A,18-24
Mount Saint Mary's University,CA,Los Angeles,90049,private,#11,76,48132,3.4,1797,N/A,N/A
Mount St. Joseph University,OH,Cincinnati,45233,private,#376,54,34900,3.5,1423,1068-1233,21-27
Mount St. Mary College,NY,Newburgh,12550,private,#96,88,41370,3.4,1542,1075-1225,N/A
Mount St. Mary's University,MD,Emmitsburg,21727,private,#69,80,47240,3.5,1896,1040-1250,19-25
Mount Vernon Nazarene University,OH,Mount Vernon,43050,private,#67,85,34168,3.6,1628,963-1228,19-27
Muhlenberg College,PA,Allentown,18104,private,#70,66,60240,3.5,1945,1200-1400,29-33
Multnomah University,OR,Portland,97220,private,#82,59,28810,,336,N/A,N/A
Murray State University,KY,Murray,42071,public,#31,86,14328,3.6,7756,980-1140,19-26
Muskingum University,OH,New Concord,43762,private,#46,86,31690,3.3,1477,950-1120,17-22
Naropa University,CO,Boulder,80302,private,#105-115,100,34800,,325,N/A,N/A
National Louis University,IL,Chicago,60603,private,#395-435,92,11580,2.8,3601,N/A,N/A
National University,CA,La Jolla,92037,private,#105-115,55,13320,,8485,N/A,N/A
National University College,PR,Bayamon,,proprietary,#123-135,,7158,,23730,N/A,N/A
Navajo Technical University,NM,Crownpoint,,public,Unranked,,3278,,1291,N/A,N/A
Nazareth University,NY,Rochester,14618,private,#54,84,40880,3.5,1987,1140-1320,24-28
Nebraska Methodist College,NE,Omaha,68114,private,Unranked,84,16883,,857,N/A,N/A
Nebraska Wesleyan University,NE,Lincoln,68504,private,#38,81,41658,3.7,1545,1010-1240,22-27
Neumann University,PA,Aston,19014,private,#123,85,37590,3.3,1682,930-1160,N/A
Neumont College of Computer Science,UT,,,private,Unranked,91,26505,,517,N/A,N/A
Nevada State University,NV,Henderson,89002,public,#35,79,19964,,7158,N/A,N/A
Newberry College,SC,Newberry,29108,private,#10,75,30050,3.7,1292,928-1103,16-23
New College of Florida,FL,Sarasota,34243,public,#100,75,29944,3.9,669,1103-1360,24-31
New England College,NH,Henniker,03242,private,#151-167,96,41454,2.9,1041,N/A,N/A
New England Conservatory of Music,MA,Boston,02115,private,Unranked,43,55210,,423,N/A,N/A
New England Institute of Technology,RI,East Greenwich,02818,private,Unranked,77,35625,2.9,1720,N/A,N/A
New Jersey City University,NJ,Jersey City,07305,public,#143,90,24163,3.2,4895,890-1140,N/A
New Jersey Institute of Technology,NJ,Newark,07102,public,#86,66,34972,3.8,9019,1190-1450,27-33
Newman University,KS,Wichita,67213,private,#124,72,34400,,2154,N/A,17-25
New Mexico Highlands University,NM,Las Vegas,87701,public,#98,,11988,,1544,N/A,N/A
New Mexico State University,NM,Las Cruces,88003,public,#296,78,27385,3.5,11591,900-1140,17-23
New Mexico Tech,NM,Socorro,87801,public,#34,74,26312,3.7,1218,1110-1320,21-28
New Orleans Baptist Theological Seminary,LA,New Orleans,70126,private,Unranked,,10820,,792,N/A,N/A
The New School,NY,New York,10011,private,#201,57,56244,3.6,7208,N/A,N/A
NewSchool of Architecture and Design,CA,San Diego,92101,proprietary,#91,61,30291,,301,N/A,N/A
New York Institute of Technology,NY,Old Westbury,11568,private,#21,76,44360,3.6,3453,1118-1360,24-31
New York School of Interior Design,NY,New York,10021,private,Unranked,54,28580,,487,N/A,N/A
New York University,NY,New York,10012,private,#35,12,60438,3.8,29401,1470-1570,33-35
Niagara University,NY,Niagara University,14109,private,#30,90,37920,3.6,2709,1030-1240,24-28
Nicholls State University,LA,Thibodaux,70310,public,#69,98,9249,3.4,5328,945-1130,19-24
Nichols College,MA,Dudley,01571,private,#118,85,40475,3,1164,940-1180,N/A
Nightingale College,UT,,,proprietary,Unranked,,70800,,2273,N/A,N/A
Norfolk State University,VA,Norfolk,23504,public,#55,89,21412,3,5337,840-1040,15-20
North Carolina Agricultural and Technical State University,NC,Greensboro,27411,public,#280,56,20243,3.8,11833,960-1140,17-23
North Carolina Central University,NC,Durham,27707,public,#26,84,19715,3.2,5634,810-1130,15-23
North Carolina State University,NC,Raleigh,27695,public,#60,47,31976,3.8,26254,1245-1440,24-31
North Carolina Wesleyan University,NC,Rocky Mount,27804,private,#47,68,35936,,1249,860-1120,15-21
North Central College,IL,Naperville,60540,private,#24,61,44394,3.7,2368,1020-1240,22-28
North Central University,MN,Minneapolis,55404,private,#23,58,29460,3.4,809,N/A,N/A
North Dakota State University,ND,Fargo,58108,public,#249,96,15646,3.5,10096,968-1216,19-25
Northeastern Illinois University,IL,Chicago,60625,public,#139,63,22725,,4205,N/A,12-22
Northeastern State University,OK,Tahlequah,74464,public,#62,99,17172,3.4,5225,N/A,17-23
Northeastern University,MA,Boston,02115,private,#53,7,63141,,16302,1440-1550,33-35
Northern Arizona University,AZ,Flagstaff,86011,public,#249,80,28900,3.7,23207,1050-1270,19-25
Northern Illinois University,IL,DeKalb,60115,public,#269,71,12504,3.4,11429,N/A,N/A
Northern Kentucky University,KY,Highland Heights,41099,public,#382,86,21480,3.4,10776,1030-1290,19-25
Northern Marianas College,MP,Saipan,96950,public,#40,,5520,,1298,N/A,N/A
Northern Michigan University,MI,Marquette,49855,public,#60,71,18800,3.4,6434,N/A,N/A
Northern New Mexico College,NM,Espanola,87532,public,#32,,14329,,1136,N/A,N/A
Northern State University,SD,Aberdeen,57401,public,#88,78,11947,3.4,2851,800-1150,18-24
North Florida College,FL,Madison,32340,public,#13,100,11400,,1127,N/A,N/A
North Greenville University,SC,Tigerville,29688,private,#36,76,24500,3.8,1839,1060-1240,22-28
Northland College,WI,Ashland,54806,private,#33,58,41237,,531,1010-1160,20-27
North Park University,IL,Chicago,60625,private,#30,67,34020,,1849,890-1162,20-26
North Seattle College,WA,Seattle,98103,public,Unranked,,5547,,4887,N/A,N/A
Northwestern College,IA,Orange City,51041,private,#43,88,35300,3.6,1169,1030-1320,20-25
Northwestern Health Sciences University,MN,Bloomington,55431,private,Unranked,,11007,,387,N/A,N/A
Northwestern Michigan College,MI,Traverse City,49686,public,Unranked,,12048,,3296,N/A,N/A
Northwestern Oklahoma State University,OK,Alva,73717,public,#86,56,11664,3.4,1647,830-1070,16-22
Northwestern State University of Louisiana,LA,Natchitoches,71497,public,#73,92,19460,3.3,8358,925-1120,18-23
Northwestern University,IL,Evanston,60208,private,#9,7,65997,,8659,1490-1570,33-35
Northwest Florida State College,FL,Niceville,32578,public,Unranked,,11625,,4697,N/A,N/A
Northwest Indian College,WA,Bellingham,,public,Unranked,,3969,,622,N/A,N/A
Northwest Missouri State University,MO,Maryville,64468,public,#76,80,19461,3.5,5308,938-1158,18-24
Northwest Nazarene University,ID,Nampa,83686,private,#50,88,39370,3.7,1140,1000-1240,19-27
Northwest University,WA,Kirkland,98033,private,#44,95,36036,3.6,723,1050-1320,22-30
Northwood University,MI,Midland,48640,private,Unranked,80,33000,3.5,1038,N/A,N/A
Norwich University,VT,Northfield,05663,private,#90,83,50600,3.3,2854,1040-1290,22-28
Notre Dame College of Ohio,OH,Cleveland,44121,private,#53,82,31950,,1376,890-1100,16-22
Notre Dame of Maryland University,MD,Baltimore,21210,private,#54,70,41910,3.4,660,998-1303,N/A
Nova Southeastern University,FL,Ft. Lauderdale,33314,private,#227,76,37080,3.9,6971,1040-1310,20-27
Nueta Hidatsa Sahnish College,ND,New Town,,public,Unranked,,3870,,187,N/A,N/A
Oakland City University,IN,Oakland City,47660,private,#304,78,27150,,699,895-1150,17-23
Oakland University,MI,Rochester,48309,public,#332,90,23188,3.5,12841,930-1190,17-26
Oak Point University,IL,Oak Brook,60622,private,Unranked,,23188,,507,N/A,N/A
Oakwood University,AL,Huntsville,35896,private,#178,72,20040,,1378,N/A,N/A
Oberlin College and Conservatory,OH,Oberlin,44074,private,#51,35,64646,3.7,2986,1360-1530,30-33
Occidental College,CA,Los Angeles,90041,private,#35,39,63446,3.7,1942,1360-1510,31-34
Oglala Lakota College,SD,Kyle,57752,public,Unranked,,2684,,1414,N/A,N/A
Oglethorpe University,GA,Atlanta,30319,private,#163,72,45806,,1491,1065-1305,22-29
Ohio Christian University,OH,Circleville,43113,private,#148,,23100,,1439,N/A,N/A
Ohio Dominican University,OH,Columbus,43219,private,#95,52,34370,,846,883-1146,16-24
Ohio Northern University,OH,Ada,45810,private,#2,54,37600,3.8,2569,1075-1310,21-28
The Ohio State University,OH,Columbus,43210,public,#43,53,36722,,46123,1310-1480,29-32
Ohio University,OH,Athens,45701,public,#178,87,24114,3.8,17860,1080-1270,22-27
Ohio Wesleyan University,OH,Delaware,43015,private,#116,52,52297,3.7,1410,1123-1358,23-30
Oklahoma Baptist University,OK,Shawnee,74804,private,#44,51,34050,3.2,1330,960-1160,17-24
Oklahoma Christian University,OK,Oklahoma City,73136,private,#56,96,25900,3.6,2003,1020-1240,19-27
Oklahoma City University,OK,Oklahoma City,73106,private,#280,70,33586,3.8,1361,1080-1260,20-26
Oklahoma Panhandle State University,OK,Goodwell,73939,public,#37,90,8426,3.1,1242,863-1088,17-21
Oklahoma State University,OK,Stillwater,74078,public,#185,71,24764,3.6,20801,1010-1250,20-27
Oklahoma State University Institute of Technology--Okmulgee,OK,Okmulgee,74447,public,Unranked,48,11384,3.2,2364,N/A,N/A
Oklahoma State University--Oklahoma City,OK,Oklahoma City,73107,public,Unranked,,9564,,4456,N/A,N/A
Oklahoma Wesleyan University,OK,Bartlesville,74006,private,#79,54,30262,,782,880-1130,16-23
Old Dominion University,VA,Norfolk,23529,public,#280,95,32662,3.4,18375,1090-1250,22-27
Olivet Nazarene University,IL,Bourbonnais,60914,private,#47,60,37940,,2519,930-1210,18-27
Olympic College,WA,Bremerton,98337,public,Unranked,,9740,,4999,N/A,N/A
Oral Roberts University,OK,Tulsa,74171,private,#74,99,34100,3.6,4402,1020-1240,19-26
Oregon Health and Science University,OR,Portland,97239,public,Unranked,,43575,,783,N/A,N/A
Oregon Institute of Technology,OR,Klamath Falls,97601,public,#5,93,35592,3.5,4804,1050-1255,23-30
Oregon State University,OR,Corvallis,97331,public,#142,83,35664,3.6,28905,1130-1380,22-30
Otis College of Art and Design,CA,Los Angeles,90045,private,Unranked,83,50040,3.2,1268,N/A,N/A
Ottawa University,KS,Ottawa,66067,private,#32,78,33380,3.3,853,860-1100,18-23
Otterbein University,OH,Westerville,43081,private,#20,84,34899,3.8,2173,1035-1270,20-27
Ouachita Baptist University,AR,Arkadelphia,71998,private,#178,72,32480,3.8,1730,1020-1200,21-29
Our Lady of the Lake University,TX,San Antonio,78207,private,#395-435,69,31728,3.6,1195,900-1110,15-16
Ozark Christian College,MO,Joplin,64801,private,Unranked,94,15550,3.5,619,N/A,N/A
Pace University,NY,New York,10038,private,#249,83,51424,3.4,8223,1120-1300,24-29
Pacific College,CA,Costa Mesa,,proprietary,Unranked,71,40000,,356,N/A,N/A
Pacific Lutheran University,WA,Tacoma,98447,private,#25,89,50964,3.7,2301,1253-1423,27-30
Pacific Northwest College of Art,OR,Portland,97209,private,Unranked,98,45100,,397,N/A,N/A
Pacific Oaks College,CA,Pasadena,91103,private,Unranked,13,11692,,479,N/A,N/A
Pacific Union College,CA,Angwin,94508,private,#13,48,35214,3.5,848,990-1260,19-26
Pacific University,OR,Forest Grove,97116,private,#209,92,54466,3.7,1639,1010-1350,20-26
Paine College,GA,Augusta,30901,private,#186-204,52,14596,,251,N/A,N/A
Palm Beach Atlantic University,FL,West Palm Beach,33416,private,#382,95,35900,,3028,1000-1240,19-26
Palm Beach State College,FL,Lake Worth,33461,public,Unranked,,16895,2.9,24223,N/A,N/A
Parker University,TX,Dallas,75229,private,Unranked,,15718,,466,N/A,N/A
Park University,MO,Parkville,64152,private,#149-164,,12671,,7387,N/A,N/A
Pasco-Hernando State College,FL,New Port Richey,34654,public,Unranked,,12032,,9257,N/A,N/A
Patrick Henry College,VA,Purcellville,20132,private,Unranked,76,28425,3.8,409,N/A,N/A
Paul Quinn College,TX,Dallas,75241,private,#38,87,13798,,384,N/A,N/A
Paul Smith's College,NY,Paul Smiths,12970,private,#25,75,32048,,711,N/A,N/A
Peirce College,PA,Philadelphia,19102,private,Unranked,,15060,,788,N/A,N/A
Peninsula College,WA,Port Angeles,98362,public,Unranked,,4919,,1702,N/A,N/A
Pennsylvania Academy of the Fine Arts,PA,Philadelphia,19102,private,Unranked,84,42100,,121,N/A,N/A
Pennsylvania College of Art & Design,PA,Lancaster,17608,private,Unranked,44,29450,,245,N/A,N/A
Pennsylvania College of Technology,PA,Williamsport,17701,public,#6,75,25680,3.1,4234,1008-1180,19-23
Pennsylvania State University -- Behrend,PA,Erie,16563,public,Unranked,,26370,,0,N/A,N/A
Pennsylvania State University--Berks,PA,,,public,Unranked,,26370,,0,N/A,N/A
Pennsylvania State University--Harrisburg,PA,Middletown,17057,public,Unranked,,26370,,0,N/A,N/A
The Pennsylvania State University--University Park,PA,University Park,16802,public,#60,55,38651,3.7,41745,1210-1390,26-31
Pennsylvania Western University,PA,California,15419,public,#135,94,14816,3.4,9404,940-1160,18-25
Pensacola State College,FL,Pensacola,32504,public,Unranked,,17225,,8604,N/A,N/A
Pepperdine University,CA,Malibu,90263,private,#76,49,66742,3.8,3662,1285-1480,28-32
Peru State College,NE,Peru,68421,public,#148,,7920,,1763,N/A,N/A
Pfeiffer University,NC,Misenheimer,28109,private,#71,72,33290,,744,891-1165,18-25
Philander Smith College,AR,Little Rock,72202,private,#60,,13014,,769,N/A,N/A
Phillips School of Nursing at Mount Sinai Beth Israel,NY,New York,,private,Unranked,,28323,,290,N/A,N/A
Piedmont University,GA,Demorest,30535,private,#52,64,30680,3.5,1245,990-1200,19-25
Pillar College,NJ,Newark,,private,#186-204,,23668,,443,N/A,N/A
Pittsburgh Technical College,PA,Oakdale,15071,private,Unranked,82,18000,,1066,N/A,N/A
Pittsburg State University,KS,Pittsburg,66762,public,#96,94,19654,,4560,N/A,17-24
Pitzer College,CA,Claremont,91711,private,#39,18,62692,3.9,1212,N/A,N/A
Platt College,CO,Aurora,80014,proprietary,Unranked,58,20590,,236,N/A,N/A
Plaza College,NY,Forest Hills,11375,proprietary,Unranked,30,14425,,896,N/A,N/A
Plymouth State University,NH,Plymouth,03264,public,#130,98,25498,3,3308,N/A,N/A
Point Loma Nazarene University,CA,San Diego,92106,private,#9,82,43550,3.7,3154,1160-1360,23-30
Point Park University,PA,Pittsburgh,15222,private,#352,82,48070,3.6,2418,1030-1245,19-26
Point University,GA,West Point,31833,private,#74,47,22300,,1638,890-1130,16-21
Polk State College,FL,Winter Haven,33881,public,Unranked,,12272,,9044,N/A,N/A
Pomona College,CA,Claremont,91711,private,#4,7,62326,,1791,1480-1560,33-35
Pontifical Catholic University of Puerto Rico--Arecibo,PR,Arecibo,00614,private,Unranked,98,5818,,361,N/A,N/A
Pontifical Catholic University of Puerto Rico--Ponce,PR,Ponce,00717,private,#380,85,5920,,4473,N/A,N/A
Pontifical College Josephinum,OH,Columbus,43235,private,Unranked,80,26763,,32,N/A,N/A
Portland State University,OR,Portland,97207,public,#280,93,24495,3.4,16864,1070-1300,18-27
Post University,CT,Waterbury,06708,proprietary,#151-167,95,32525,,14944,N/A,N/A
Prairie View A&M University,TX,Prairie View,77446,public,#395-435,77,26874,,8444,840-1050,18-20
Pratt Institute,NY,Brooklyn,11205,private,Unranked,45,59683,3.8,3702,N/A,N/A
Presbyterian College,SC,Clinton,29325,private,#139,59,43300,3.3,955,1020-1270,21-27
Prescott College,AZ,Prescott,86301,private,#90,98,35685,,317,N/A,N/A
Princeton University,NJ,Princeton,08544,private,#1,6,59710,3.9,5604,1500-1580,34-35
Principia College,IL,Elsah,62028,private,#51,48,33280,3.3,314,1027-1190,16-26
Providence Christian College,CA,Pasadena,91104,private,#186-204,83,33884,,123,N/A,N/A
Providence College,RI,Providence,02918,private,#1,53,60848,3.6,4279,1260-1420,28-32
Provo College,UT,Provo,,proprietary,Unranked,,17112,,684,N/A,N/A
Pueblo Community College,CO,Pueblo,81004,public,Unranked,,16275,,5938,N/A,N/A
Puerto Rico Conservatory of Music,PR,San Juan,00907,public,Unranked,51,3370,,325,N/A,N/A
Purchase College--SUNY,NY,Purchase,10577,public,#139,78,18863,3.4,3145,1190-1350,29-31
Purdue University--Fort Wayne,IN,Fort Wayne,46805,public,#117,81,22220,3.4,8390,980-1210,20-27
Purdue University Global,IN,West Lafayette,,public,#395-435,,14445,,32477,N/A,N/A
Purdue University--Main Campus,IN,West Lafayette,47907,public,#43,53,28794,3.7,37949,1200-1470,27-34
Purdue University--Northwest,IN,Hammond,46323,public,#103,73,13096,3.1,6126,950-1170,18-24
Queens University of Charlotte,NC,Charlotte,28274,private,#16,71,42790,,1317,1080-1255,22-29
Quincy University,IL,Quincy,62301,private,#36,62,35740,3.4,1146,1080-1250,21-26
Quinnipiac University,CT,Hamden,06518,private,#170,84,53090,3.5,6073,1120-1300,24-29
Radford University,VA,Radford,24142,public,#304,93,24738,3.4,6008,960-1160,19-23
Ramapo College of New Jersey,NJ,Mahwah,07430,public,#27,70,25374,3.5,4932,1100-1290,21-28
Randolph College,VA,Lynchburg,24503,private,#165,95,29010,3.3,478,930-1140,22-30
Randolph-Macon College,VA,Ashland,23005,private,#107,85,48106,3.7,1490,1020-1220,23-27
Ranken Technical College,MO,Saint Louis,63113,private,Unranked,,16960,,1826,N/A,N/A
Rasmussen University,MN,,,proprietary,Unranked,,11205,,3658,N/A,N/A
Red Rocks Community College,CO,Lakewood,80228,public,Unranked,,16135,,5938,N/A,N/A
Reed College,OR,Portland,97202,private,#67,44,64760,,1548,N/A,N/A
Regent's American College London,,London NW1 4NS,,private,Unranked,,,,0,N/A,N/A
Regent University,VA,Virginia Beach,23464,private,#369,32,20685,3.5,4552,1030-1250,19-25
Regis College,MA,Weston,02493,private,#45,89,47770,3.3,1121,1040-1230,23-27
Regis University,CO,Denver,80221,private,#260,78,43980,3.7,2398,1010-1220,20-27
Reinhardt University,GA,Waleska,30183,private,#34,63,28420,3.2,1059,900-1210,14-24
Rensselaer Polytechnic Institute,NY,Troy,12180,private,#60,65,61884,3.9,5895,1360-1520,30-34
Renton Technical College,WA,Renton,98056,public,Unranked,,6252,,3097,N/A,N/A
Research College of Nursing,MO,Kansas City,64132,private,Unranked,,18000,,259,N/A,N/A
Rhode Island College,RI,Providence,02908,public,#96,88,26519,,4719,870-1110,N/A
Rhode Island School of Design,RI,Providence,02903,private,#4,19,57505,,2044,1310-1480,28-34
Rhodes College,TN,Memphis,38112,private,#56,48,54892,3.7,1996,1305-1465,28-32
Rice University,TX,Houston,77005,private,#17,9,58128,,4494,1490-1570,34-36
Richmond American University London,,"Chiswick, London W4 5AN",,private,Unranked,,,,0,N/A,N/A
Rider University,NJ,Lawrenceville,08648,private,#33,84,38900,3.5,3168,1100-1300,21-29
Ringling College of Art and Design,FL,Sarasota,34234,private,Unranked,65,55260,3.5,1705,N/A,N/A
Rio Hondo College,CA,Whittier,90601,public,Unranked,,9884,,15593,N/A,N/A
Ripon College,WI,Ripon,54971,private,#146,81,50700,3.4,766,990-1170,19-27
Rivier University,NH,Nashua,03060,private,#151-167,84,36610,,1454,N/A,N/A
Roanoke College,VA,Salem,24153,private,#130,80,36774,3.4,1826,1060-1260,19-26
Robert Morris University,PA,Moon Township,15108,private,#201,94,34740,3.7,2782,N/A,N/A
Roberts Wesleyan College,NY,Rochester,14624,private,#91,100,37380,3.6,1052,1150-1340,25-30
Rochester Institute of Technology,NY,Rochester,14623,private,#98,67,57016,3.7,13940,1270-1450,29-33
Rochester University,MI,Rochester Hills,48307,private,#51,98,26735,,1087,N/A,N/A
Rockford University,IL,Rockford,61108,private,#138,55,36800,3.2,951,840-1086,12-20
Rockhurst University,MO,Kansas City,64110,private,#13,66,42901,3.7,2545,1050-1225,19-27
Rocky Mountain College,MT,Billings,59102,private,#91,75,33252,3.4,845,970-1230,18-24
Rocky Mountain College of Art and Design,CO,Lakewood,80214,proprietary,#29,,22607,,1837,N/A,N/A
Rogers State University,OK,Claremore,74017,public,#31,60,16260,3.4,3063,818-915,17-23
Roger Williams University,RI,Bristol,02809,private,#50,91,42666,3.4,4103,1120-1270,25-31
Rollins College,FL,Winter Park,32789,private,#1,50,58300,3.5,2263,1120-1340,23-29
Roosevelt University,IL,Chicago,60605,private,#390,88,20280,3,2391,860-1120,21-27
Rose-Hulman Institute of Technology,IN,Terre Haute,47803,private,Unranked,73,54174,3.9,2169,N/A,N/A
Roseman University of Health Sciences,NV,Henderson,,private,Unranked,,41667,,559,N/A,N/A
Rosemont College,PA,Rosemont,19010,private,#148,76,21175,3,425,980-1200,18-23
Rowan University,NJ,Glassboro,08028,public,#163,77,25564,3.4,15264,1090-1300,23-31
Russell Sage College,NY,Troy,12180,private,#195,74,36756,3.3,1126,900-1160,15-25
Rust College,MS,Holly Springs,38635,private,#186-204,38,9900,,768,N/A,N/A
Rutgers University--Camden,NJ,Camden,08102,public,#98,77,35841,,4185,1030-1280,25-30
Rutgers University--Newark,NJ,Newark,07102,public,#82,74,35348,,7511,1030-1270,21-28
Rutgers University--New Brunswick,NJ,Piscataway,08854,public,#40,66,36001,,36344,1270-1480,28-33
Sacred Heart Major Seminary,MI,Detroit,48206,private,Unranked,100,22277,,190,N/A,N/A
Sacred Heart University,CT,Fairfield,06825,private,#209,66,48460,3.7,6782,1140-1280,26-29
Saginaw Valley State University,MI,University Center,48710,public,#120,78,27164,,6789,960-1170,19-25
Saint Anselm College,NH,Manchester,03102,private,#89,82,46800,3.4,1959,1120-1290,26-30
Saint Anthony College of Nursing,IL,Rockford,61114,private,Unranked,100,27811,,181,N/A,N/A
Saint Augustine's University,NC,Raleigh,27610,private,#86,72,16896,0,937,N/A,N/A
Saint Elizabeth University,NJ,Morristown,07960,private,#96,73,35836,,737,N/A,N/A
Saint Johns River State College,FL,Palatka,32177,public,Unranked,,10347,,6318,N/A,N/A
Saint Joseph's University,PA,Philadelphia,19131,private,#8,89,51340,,5073,1130-1320,26-31
Saint Leo University,FL,Saint Leo,33574,private,#390,80,28360,3.2,2336,930-1150,19-25
Saint Louis University,MO,St. Louis,63103,private,#105,85,53244,3.9,7426,1210-1400,26-31
Saint Martin's University,WA,Lacey,98503,private,#33,95,44210,3.4,1367,925-1180,19-24
Saint Mary-of-the-Woods College,IN,St. Mary-of-the-Woods,47876,private,#35,79,33490,3.2,815,868-1052,18-30
Saint Mary's College,IN,Notre Dame,46556,private,#82,84,51430,3.8,1406,1030-1270,23-30
Saint Mary's College of California,CA,Moraga,94556,private,#4,88,56134,3.7,2003,1085-1260,26-31
Saint Mary's University of Minnesota,MN,Winona,55987,private,#296,97,43160,3.5,1100,N/A,21-28
Saint Michael's College,VT,Colchester,05439,private,#116,85,50040,,1209,1160-1316,27-30
Saint Peter's University,NJ,Jersey City,07306,private,#45,89,41054,3.3,2068,910-1163,22-26
Saint Vincent College,PA,Latrobe,15650,private,#124,73,41785,3.6,1375,1030-1250,22-28
Saint Xavier University,IL,Chicago,60655,private,#38,84,36840,3.6,2981,890-1090,19-24
Salem College,NC,Winston-Salem,27101,private,#139,81,32236,3.6,364,973-1195,20-28
Salem State University,MA,Salem,01970,public,#96,93,18961,3.3,5078,1000-1190,N/A
Salem University,WV,Salem,26426,proprietary,#123-135,,13150,,782,N/A,N/A
Salisbury University,MD,Salisbury,21801,public,#54,91,21332,3.7,6378,1180-1320,22-27
Salish Kootenai College,MT,Pablo,59855,public,Unranked,,11583,,615,N/A,N/A
Salve Regina University,RI,Newport,02840,private,#27,70,47930,3.6,2190,1130-1280,25-28
Samford University,AL,Birmingham,35229,private,#185,83,38144,3.8,3672,1080-1270,23-29
Sam Houston State University,TX,Huntsville,77340,public,#249,85,22996,0,18235,960-1140,18-24
Samuel Merritt University,CA,Oakland,94609,private,Unranked,,86969,,728,N/A,N/A
San Diego Christian College,CA,Santee,92071,private,#98,53,26300,,449,N/A,N/A
San Diego Mesa College,CA,San Diego,92111,public,Unranked,,7440,,18028,N/A,N/A
San Diego State University,CA,San Diego,92182,public,#105,39,20170,3.9,31724,N/A,N/A
San Francisco Conservatory of Music,CA,San Francisco,94102,private,Unranked,46,52800,,228,N/A,N/A
San Francisco State University,CA,San Francisco,94132,public,#178,91,19404,,21868,N/A,N/A
San Joaquin Valley College--Visalia,CA,Visalia,93291,proprietary,Unranked,,16802,,2240,N/A,N/A
San Jose State University,CA,San Jose,95192,public,#4,75,19872,3.6,26863,1070-1370,21-29
San Juan Bautista School of Medicine,PR,Caguas,,private,Unranked,77,9849,,63,N/A,N/A
Santa Ana College,CA,Santa Ana,92706,public,Unranked,,8788,,23936,N/A,N/A
Santa Clara University,CA,Santa Clara,95053,private,#60,52,59241,3.7,6115,1290-1480,29-33
Santa Fe College,FL,Gainesville,32606,public,Unranked,,9189,,12830,N/A,N/A
Santa Monica College,CA,Santa Monica,90405,public,Unranked,,9094,,23408,N/A,N/A
Sarah Lawrence College,NY,Bronxville,10708,private,#100,50,63678,3.8,1462,1260-1450,29-33
Savannah College of Art and Design,GA,Savannah,31402,private,#9,82,40095,3.6,13622,1060-1280,20-28
Savannah State University,GA,Savannah,31404,public,#110,,30274,,3138,N/A,N/A
Schoolcraft College,MI,Livonia,48152,public,Unranked,,7652,,8330,N/A,N/A
School of the Art Institute of Chicago,IL,Chicago,60603,private,Unranked,81,54530,,2819,N/A,N/A
School of Visual Arts,NY,New York,10010,proprietary,#104,87,49140,3.4,3533,1168-1402,27-33
Schreiner University,TX,Kerrville,78028,private,#67,85,37396,3.5,1098,920-1140,17-24
Scripps College,CA,Claremont,91711,private,#35,28,63434,,1081,1390-1510,32-34
Seattle Central College,WA,Seattle,98122,public,Unranked,,5354,,4698,N/A,N/A
Seattle Pacific University,WA,Seattle,98119,private,#269,91,38814,3.6,2428,1080-1350,20-27
Seattle University,WA,Seattle,98122,private,#163,85,54285,3.6,4099,1190-1390,24-30
Seminole State College of Florida,FL,Sanford,32773,public,Unranked,,11456,,15315,N/A,N/A
Sentara College of Health Sciences,VA,Chesapeake,,private,Unranked,,2828,,260,N/A,N/A
Seton Hall University,NJ,South Orange,07079,private,#151,75,51370,3.7,6012,1230-1390,28-31
Seton Hill University,PA,Greensburg,15601,private,#39,78,41414,,1630,1040-1240,21-28
Shasta College,CA,Redding,96003,public,Unranked,,8271,,7075,N/A,N/A
