institution.displayName,institution.state,institution.city,institution.zip,institution.institutionalControl,ranking.displayRank,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Clear Creek Baptist Bible College,KY,Pineville,40977,private,Unranked,,9970,,134,N/A,N/A
Cleary University,MI,Howell,48843,private,Unranked,76,13629,,612,N/A,N/A
Clemson University,SC,Clemson,29634,public,#86,43,39502,,22566,1220-1410,28-32
Cleveland Institute of Art,OH,Cleveland,44106,private,Unranked,70,47880,3.5,584,N/A,N/A
Cleveland Institute of Music,OH,Cleveland,44106,private,Unranked,33,42370,,208,N/A,N/A
Cleveland State University,OH,Cleveland,44115,public,#320,85,17875,3.3,9950,N/A,18-25
Cleveland University--Kansas City,KS,Overland Park,66210,private,Unranked,100,14400,,91,N/A,N/A
Clover Park Technical College,WA,Lakewood,98499,public,Unranked,,5909,,2846,N/A,N/A
Coastal Carolina University,SC,Conway,29528,public,#36,79,29628,3.7,9794,1020-1190,20-25
Coe College,IA,Cedar Rapids,52402,private,#130,72,52576,3.6,1264,1080-1280,22-28
