institution.displayName,institution.schoolType,institution.state,institution.city,institution.zip,ranking.displayRank,ranking.sortRank,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Hope College,national-liberal-arts-colleges,MI,Holland,49422,#100,100,37221,3.8,3251,1090,24-31
Hope International University,regional-universities-west,CA,Fullerton,92831,#81,81,36250,3.3,590,930,N/A
Houghton University,national-liberal-arts-colleges,NY,Houghton,14744,#146,146,17290,,813,1080,20-31
Houston Christian University,regional-universities-west,TX,Houston,77074,#66,66,36600,,2780,1040,22-27
Howard Payne University,regional-colleges-west,TX,Brownwood,76801,#30,30,33552,3.5,773,920,19-22
Howard University,national-universities,DC,Washington,20059,#115,115,33344,3.7,9809,1050,20-26
Huertas College,health,PR,Caguas,,Unranked,-2,7920,,505,,N/A
Hult International Business School,specialty-business,MA,Cambridge,02141,Unranked,-2,50800,,1666,,N/A
Humphreys University,regional-universities-west,CA,Stockton,95207,Unranked,-2,14760,,199,,N/A
Huntingdon College,regional-colleges-south,AL,Montgomery,36106,#9,9,28650,,813,980,19-25
Huntington University,regional-universities-midwest,IN,Huntington,46750,#37,37,28930,,1120,1010,19-24
Husson University,national-universities,ME,Bangor,04401,#361,361,22194,,2453,1020,N/A
Huston-Tillotson University,regional-colleges-west,TX,Austin,78702,#35,35,14703,,991,820,14-20
Idaho State University,national-universities,ID,Pocatello,83209,#395-435,-1,25936,,9818,,N/A
Ilisagvik College,tribal,AK,Barrow,,Unranked,-2,5260,,268,,N/A
Illinois College,national-liberal-arts-colleges,IL,Jacksonville,62650,#124,124,37470,3.6,1028,960,21-26
Illinois Institute of Technology,national-universities,IL,Chicago,60616,#98,98,51763,,3125,1220,28-32
Illinois State University,national-universities,IL,Normal,61790,#209,209,27011,3.6,18055,1000,21-27
Illinois Wesleyan University,regional-colleges-midwest,IL,Bloomington,61702,#1,1,55704,3.8,1527,1120,25-30
Immaculata University,national-universities,PA,Immaculata,19345,#280,280,28550,3.5,1508,1090,N/A
Indiana State University,national-universities,IN,Terre Haute,47809,#382,382,21734,3.2,6965,915,17-24
Indiana Tech,regional-universities-midwest,IN,Fort Wayne,46803,#124,124,29560,3.4,1343,910,18-24
Indiana University--Bloomington,national-universities,IN,Bloomington,47405,#73,73,40482,3.8,35660,1180,27-32
Indiana University East,regional-universities-midwest,IN,Richmond,47374,#103,103,22043,3.3,2786,960,18-26
Indiana University--Kokomo,regional-universities-midwest,IN,Kokomo,46904,#117,117,22043,3.3,2669,1000,21-26
Indiana University Northwest,regional-universities-midwest,IN,Gary,46408,#141,141,22043,3.1,2860,950,20-25
Indiana University of Pennsylvania,national-universities,PA,Indiana,15705,#320,320,14864,3.4,7047,940,17-23
Indiana University-Purdue University--Indianapolis,national-universities,IN,Indianapolis,46202,#201,201,33717,3.5,17727,1050,21-27
Indiana University--South Bend,regional-universities-midwest,IN,South Bend,46634,#112,112,22043,3.1,3753,970,18-22
Indiana University Southeast,regional-universities-midwest,IN,New Albany,47150,#133,133,22043,3.4,3227,1000,20-25
Indiana Wesleyan University,regional-universities-midwest,IN,Marion,46953,#13,13,29684,3.7,2236,1000,21-27
Indian River State College,regional-colleges-south,FL,Fort Pierce,34981,Unranked,-2,10201,,14461,,N/A
Institute of American Indian Arts,tribal,NM,Santa Fe,87508,Unranked,-2,5561,,742,,N/A
Inter American University of Puerto Rico--Aguadilla,regional-universities-south,PR,Aguadilla,00605,#118,118,5542,,3035,,N/A
Inter American University of Puerto Rico--Arecibo,regional-universities-south,PR,Arecibo,00614,#118,118,5580,,2728,,N/A
Inter American University of Puerto Rico--Barranquitas,regional-colleges-south,PR,Barranquitas,00794,#43,43,5542,,1101,,N/A
Inter American University of Puerto Rico--Bayamon,regional-colleges-south,PR,Bayamon,00957,#89,89,5580,,3816,,N/A
Inter American University of Puerto Rico--Fajardo,regional-colleges-south,PR,Fajardo,00738,#81,81,5580,,1313,,N/A
Inter American University of Puerto Rico--Guayama,regional-colleges-south,PR,Guayama,00785,#74,74,5580,,1506,,N/A
Inter American University of Puerto Rico--Metropolitan Campus,regional-universities-south,PR,San Juan,00919,#120,120,5580,,3735,,N/A
Inter American University of Puerto Rico--Ponce,regional-colleges-south,PR,Mercedita,00715,#76,76,5580,,2968,,N/A
Inter American University of Puerto Rico--San German,regional-universities-south,PR,San German,00683,#93,93,5580,,2735,,N/A
International College of the Cayman Islands,unranked,,Grand Cayman KY1-1501,,Unranked,-2,,,0,,N/A
Iona University,regional-universities-north,NY,New Rochelle,10801,#60,60,45880,3.4,3032,1030,23-31
Iowa State University of Science and Technology,national-universities,IA,Ames,50011,#115,115,26617,3.7,25241,1090,21-28
Ithaca College,regional-universities-north,NY,Ithaca,14850,#13,13,49883,,4619,1203,28-32
Jackson College,regional-colleges-midwest,MI,Jackson,49201,Unranked,-2,9375,,4103,,N/A
Jackson State University,national-universities,MS,Jackson,39217,#395-435,-1,9445,,4763,940,16-20
Jacksonville State University,regional-universities-south,AL,Jacksonville,36265,#63,63,21912,,8067,1010,16-23
Jacksonville University,regional-universities-south,FL,Jacksonville,32211,#36,36,46030,3.7,2563,1060,20-26
James Madison University,national-universities,VA,Harrisonburg,22807,#124,124,30790,,20346,1140,23-29
Jamestown Business College,specialty-business,NY,Jamestown,14701,Unranked,-2,12945,,287,,N/A
Jarvis Christian University,regional-colleges-west,TX,Hawkins,75765,#34,34,11720,,721,,N/A
Jessup University,regional-universities-west,CA,Rocklin,95765,#56,56,37150,3.5,1169,1020,N/A
Jewish Theological Seminary of America,faith,NY,New York,10027,Unranked,-2,68365,,144,,N/A
John Brown University,regional-universities-south,AR,Siloam Springs,72761,#13,13,30832,3.8,1659,1100,21-28
