institution.displayName,institution.state,institution.city,institution.isPublic,ranking.displayRank,searchData.tuition.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Bryant & Stratton College--Wauwatosa,WI,,True,Unranked,19267,,,1229,N/A,N/A
Bryant University,RI,Smithfield,True,#6,51169,69,3.5,3153,1163-1320,27-32
Bryn Athyn College of the New Church,PA,Bryn Athyn,True,#174,28669,80,3.2,272,980-1253,19-21
Bryn Mawr College,PA,Bryn Mawr,True,#30,62560,31,,1409,1280-1500,29-35
Bucknell University,PA,Lewisburg,True,#30,64772,33,3.6,3747,1310-1470,30-33
Buena Vista University,IA,Storm Lake,True,#47,40190,77,3.5,1474,930-1130,20-24
Bushnell University,OR,Eugene,True,#73,34740,67,3.5,508,920-1050,N/A
Butler University,IN,Indianapolis,True,#1,45980,82,3.9,4427,1110-1320,24-30
Cabarrus College of Health Sciences,NC,Concord,True,Unranked,15560,46,,438,N/A,N/A
Cairn University,PA,Langhorne,True,#144,31355,82,,844,N/A,N/A
Caldwell University,NJ,Caldwell,True,#80,39660,66,3.3,1605,1013-1360,N/A
California Baptist University,CA,Riverside,True,#30,40030,80,3.5,8223,940-1180,19-25
California College of the Arts,CA,San Francisco,True,Unranked,57946,78,,1249,N/A,N/A
California Institute of Technology,CA,Pasadena,True,#7,63255,3,,982,N/A,N/A
California Institute of the Arts,CA,Valencia,True,#28,55056,29,,965,N/A,N/A
California Lutheran University,CA,Thousand Oaks,True,#11,50670,87,3.8,2513,1150-1320,26-30
California Polytechnic State University -- Humboldt,CA,Arcata,True,#32,19744,90,3.5,5308,1040-1273,21-24
California Polytechnic State University--San Luis Obispo,CA,San Luis Obispo,True,#1,26970,30,3.9,20963,1240-1470,28-33
California State Polytechnic University--Pomona,CA,Pomona,True,#3,19318,55,3.8,25181,N/A,N/A
California State University--Bakersfield,CA,Bakersfield,True,#34,17212,85,3.5,8188,900-1208,16-22
California State University--Channel Islands,CA,Camarillo,True,#28,18697,93,,6471,N/A,N/A
California State University--Chico,CA,Chico,True,#16,19944,92,3.4,12885,930-1186,20-28
California State University--Dominguez Hills,CA,Carson,True,#38,17876,89,3.2,13816,N/A,N/A
California State University--East Bay,CA,Hayward,True,#280,18875,82,,12114,N/A,N/A
"California State University, Fresno",CA,Fresno,True,#185,13112,95,3.5,21305,880-1140,16-24
California State University--Fullerton,CA,Fullerton,True,#133,18954,67,3.7,35239,910-1190,18-27
California State University--Long Beach,CA,Long Beach,True,#105,17200,40,3.7,32711,N/A,N/A
California State University--Los Angeles,CA,Los Angeles,True,#21,17388,87,3.4,22536,N/A,N/A
California State University--Maritime Academy,CA,Vallejo,True,#2,18996,82,,880,N/A,N/A
California State University--Monterey Bay,CA,Seaside,True,#14,19233,92,3.5,6253,1008-1263,20-28
California State University--Northridge,CA,Northridge,True,#25,18949,68,3.4,31957,N/A,N/A
"California State University, Sacramento",CA,Sacramento,True,#18,19482,92,3.5,28389,860-1140,17-22
California State University--San Bernardino,CA,San Bernardino,True,#170,14311,91,3.4,16813,N/A,17-22
"California State University, San Marcos",CA,San Marcos,True,#28,17232,94,3.3,12917,870-1100,17-25
California State University--Stanislaus,CA,Turlock,True,#10,19698,93,3.4,8926,N/A,N/A
Calumet College of St. Joseph,IN,Whiting,True,#149-164,22730,33,2.6,563,813-1008,12-17
Calvary University,MO,Kansas City,True,#64,12500,59,,303,870-1370,18-22
Calvin University,MI,Grand Rapids,True,#4,38670,74,3.8,2960,1120-1370,25-30
Cambridge College,MA,Cambridge,True,Unranked,17190,,,988,N/A,N/A
Cameron University,OK,Lawton,True,#97,16320,100,3.4,3133,N/A,16-21
Campbellsville University,KY,Campbellsville,True,#100,26100,,,4666,N/A,N/A
Campbell University,NC,Buies Creek,True,#320,40410,89,3.5,2965,1000-1220,19-25
Canisius University,NY,Buffalo,True,#33,32720,78,3.6,1788,1050-1320,22-28
Capital University,OH,Columbus,True,#47,41788,72,3.5,1938,960-1186,18-24
Capitol Technology University,MD,Laurel,True,#395-435,27004,47,,331,N/A,N/A
Caribbean University,PR,Bayamon,True,#123-135,5966,,,617,N/A,N/A
Carleton College,MN,Northfield,True,#9,65457,17,,2034,1430-1550,32-35
Carlow University,PA,Pittsburgh,True,#87,35628,93,3.5,1247,908-1138,21-23
Carnegie Mellon University,PA,Pittsburgh,True,#24,63829,11,3.9,7509,1490-1570,34-35
Carolinas College of Health Sciences,NC,,True,Unranked,16179,61,,473,N/A,N/A
Carroll College,MT,Helena,True,#3,40352,78,3.7,1160,1080-1200,13-29
Carroll University,WI,Waukesha,True,#38,37230,72,3.5,2771,1060-1340,22-28
Carson-Newman University,TN,Jefferson City,True,#361,34700,80,3.6,1528,980-1143,19-26
Carthage College,WI,Kenosha,True,#32,36500,82,3.3,2559,1040-1210,20-26
Cascadia College,WA,Bothell,True,Unranked,10426,,,1996,N/A,N/A
Case Western Reserve University,OH,Cleveland,True,#53,62234,27,3.8,6017,1410-1540,32-35
Castleton University,VT,Castleton,True,#136,30046,87,,1744,958-1158,16-22
Catawba College,NC,Salisbury,True,#6,33400,67,3.6,1094,1000-1210,18-27
The Catholic University of America,DC,Washington,True,#178,55834,86,3.5,3011,1110-1340,22-29
Cedar Crest College,PA,Allentown,True,#87,44934,84,3.4,953,960-1245,N/A
Cedarville University,OH,Cedarville,True,#21,36078,65,,4533,1130-1380,23-29
CEM College--San Juan,PR,San Juan,True,Unranked,12300,,,236,N/A,N/A
Centenary College,LA,Shreveport,True,#139,40000,64,,523,1080-1260,21-27
Centenary University,NJ,Hackettstown,True,#106,35934,98,,1128,990-1170,15-22
Central Baptist College,AR,Conway,True,#68,19680,61,,564,841-1083,17-24
Central Christian College of Kansas,KS,McPherson,True,#68-74,30800,100,3.1,536,N/A,N/A
Central College,IA,Pella,True,#135,20988,79,3.6,1169,1040-1218,19-26
Central Connecticut State University,CT,New Britain,True,#69,25736,77,3.2,7665,940-1160,18-24
Centralia College,WA,Centralia,True,Unranked,5381,,,2153,N/A,N/A
Central Methodist University -- College of Liberal Arts and Sciences,MO,Fayette,True,#27,27140,98,3.3,1080,923-1090,18-23
Central Michigan University,MI,Mount Pleasant,True,#260,14790,79,3.5,10421,980-1220,21-27
Central Penn College,PA,Summerdale,True,#35,19404,89,,872,N/A,N/A
Central State University,OH,Wilberforce,True,#68-74,9830,89,2.8,5406,770-950,14-18
Central Washington University,WA,Ellensburg,True,#37,26393,95,3.1,8609,940-1180,N/A
Centre College,KY,Danville,True,#51,50550,62,3.8,1357,1195-1470,26-34
Chadron State College,NE,Chadron,True,#132,7834,,,1800,N/A,N/A
Chamberlain University,IL,Downers Grove,True,Unranked,20410,93,,13324,N/A,N/A
Chaminade University of Honolulu,HI,Honolulu,True,#30,29970,93,3.5,1118,N/A,N/A
Champlain College,VT,Burlington,True,#91,45550,56,3.5,1784,1163-1348,27-31
Chapman University,CA,Orange,True,#133,62784,73,,7869,1200-1400,26-31
Charles R. Drew University of Medicine and Science,CA,Los Angeles,True,Unranked,18800,80,,246,N/A,N/A
Charleston Southern University,SC,Charleston,True,#59,29990,87,3.4,2836,940-1170,18-23
Chatham University,PA,Pittsburgh,True,#209,43810,66,,1499,1060-1270,21-29
Chestnut Hill College,PA,Philadelphia,True,#121,39410,98,,1072,900-1090,N/A
Cheyney University of Pennsylvania,PA,Cheyney,True,#182,18870,,,642,N/A,N/A
Chicago School of Professional Psychology at Los Angeles,CA,Los Angeles,True,Unranked,13224,37,,223,N/A,N/A
Chicago State University,IL,Chicago,True,#149-164,13638,47,,1502,N/A,N/A
Chipola College,FL,Marianna,True,Unranked,8950,63,,1826,N/A,N/A
Chowan University,NC,Murfreesboro,True,#68,27110,87,3,800,970-1120,18-24
Christ College of Nursing and Health Sciences,OH,Cincinnati,True,Unranked,16472,64,,879,N/A,N/A
Christian Brothers University,TN,Memphis,True,#13,37300,88,3.8,1253,920-1330,19-27
Christopher Newport University,VA,Newport News,True,#7,30588,85,3.8,4449,1100-1290,22-29
"The Citadel, The Military College of South Carolina",SC,Charleston,True,#2,36614,99,3.8,2695,1090-1270,23-27
Claflin University,SC,Orangeburg,True,#159,17046,78,3,1749,840-1090,17-21
Claremont McKenna College,CA,Claremont,True,#11,64150,10,,1386,1440-1550,33-35
Clark Atlanta University,GA,Atlanta,True,#361,26446,56,3.3,3427,860-1053,17-20
Clark College,WA,Vancouver,True,Unranked,10133,,,6921,N/A,N/A
Clarke University,IA,Dubuque,True,#280,39600,67,3.3,785,890-1150,18-23
Clarkson College,NE,Omaha,True,Unranked,14880,96,,616,N/A,N/A
Clarkson University,NY,Potsdam,True,#142,57950,78,3.8,2668,1190-1370,25-30
Clarks Summit University,PA,Clarks Summit,True,#151-167,29700,58,,467,N/A,N/A
Clark University,MA,Worcester,True,#142,55187,50,3.7,2389,1250-1430,28-33
Clayton State University,GA,Morrow,True,#91,19486,56,3.2,5283,890-1090,16-20
Clear Creek Baptist Bible College,KY,Pineville,True,Unranked,9970,,,134,N/A,N/A
Cleary University,MI,Howell,True,Unranked,13629,76,,612,N/A,N/A
Clemson University,SC,Clemson,True,#86,39502,43,,22566,1220-1410,28-32
Cleveland Institute of Art,OH,Cleveland,True,Unranked,47880,70,3.5,584,N/A,N/A
Cleveland Institute of Music,OH,Cleveland,True,Unranked,42370,33,,208,N/A,N/A
Cleveland State University,OH,Cleveland,True,#320,17875,85,3.3,9950,N/A,18-25
Cleveland University--Kansas City,KS,Overland Park,True,Unranked,14400,100,,91,N/A,N/A
Clover Park Technical College,WA,Lakewood,True,Unranked,5909,,,2846,N/A,N/A
Coastal Carolina University,SC,Conway,True,#36,29628,79,3.7,9794,1020-1190,20-25
Coe College,IA,Cedar Rapids,True,#130,52576,72,3.6,1264,1080-1280,22-28
Coker University,SC,Hartsville,True,#67,31764,98,,1171,940-1160,16-24
Colby College,ME,Waterville,True,#25,66600,8,,2299,1430-1540,32-34
Colby-Sawyer College,NH,New London,True,#12,18400,78,3.4,864,960-1170,22-27
Colegio Universitario de San Juan,PR,San Juan,True,#91-99,2340,77,,675,N/A,N/A
Colgate University,NY,Hamilton,True,#21,67024,12,3.9,3130,1410-1530,32-34
College for Creative Studies,MI,Detroit,True,Unranked,49435,49,3.4,1451,N/A,N/A
College of Biblical Studies--Houston,TX,Houston,True,Unranked,7475,,,418,N/A,N/A
College of Central Florida,FL,Ocala,True,Unranked,10632,41,,5492,N/A,N/A
College of Charleston,SC,Charleston,True,#9,36858,76,,9972,1130-1300,24-30
College of Coastal Georgia,GA,Brunswick,True,#68,12756,98,3.2,3147,900-1140,15-22
College of Idaho,ID,Caldwell,True,#7,36205,46,,1054,1070-1240,23-29
College of Menominee Nation,WI,Keshena,True,Unranked,6200,,,191,N/A,N/A
College of Mount St. Vincent,NY,Bronx,True,#9,42740,91,3.3,2259,968-1206,22-23
The College of New Jersey,NJ,Ewing,True,#4,30774,64,,7039,1140-1350,24-30
College of Saint Mary,NE,Omaha,True,#76,23340,76,3.4,540,1010-1200,18-24
The College of Saint Rose,NY,Albany,True,#119,37452,76,,1798,N/A,N/A
College of Southern Nevada,NV,Las Vegas,True,Unranked,11869,,,29942,N/A,N/A
College of St. Benedict,MN,St. Joseph,True,#73,53884,88,3.7,1443,1055-1245,20-27
